sira,isim,puan,degerlendirme_sayisi,kategori,adres,calisma_saati,link
1,Özgür Erkek Kuaförü.,"4,9",766,"4,9(766)","4,9(766)",,https://www.google.com/maps/place/%C3%96zg%C3%BCr+Erkek+Kuaf%C3%B6r%C3%BC./data=!4m7!3m6!1s0x14cac6fb5b1c6d59:0xb2fc749b5639aec0!8m2!3d40.9533524!4d29.0998264!16s%2Fg%2F11g6_6c2nf!19sChIJWW0cW_vGyhQRwK45Vpt0_LI?authuser=0&hl=tr&rclk=1
2,Rıdvan Öztürk Berber Shop .erkek kuaför Maltepe istanbul,"5,0",221,"5,0(221)","5,0(221)",,https://www.google.com/maps/place/R%C4%B1dvan+%C3%96zt%C3%BCrk+Berber+Shop+.erkek+kuaf%C3%B6r+Maltepe+istanbul/data=!4m7!3m6!1s0x14cac5c9389a4cdf:0xd17d9183723223af!8m2!3d40.9384782!4d29.1511711!16s%2Fg%2F11y9qxyj6n!19sChIJ30yaOMnFyhQRryMycoORfdE?authuser=0&hl=tr&rclk=1
3,Açık ✂️ERDAL ERKEK KUAFÖRÜ ✂️BERBER✂️ AÇIK ✂ Müsait 📞🙋 ✂️ 📞Lütfen Randevu Alallım ☎️ AÇIK.,"4,9",445,"4,9(445)","4,9(445)",,https://www.google.com/maps/place/A%C3%A7%C4%B1k+%E2%9C%82%EF%B8%8FERDAL+ERKEK+KUAF%C3%96R%C3%9C+%E2%9C%82%EF%B8%8FBERBER%E2%9C%82%EF%B8%8F+A%C3%87IK+%E2%9C%82+M%C3%BCsait+%F0%9F%93%9E%F0%9F%99%8B+%E2%9C%82%EF%B8%8F+%F0%9F%93%9EL%C3%BCtfen+Randevu+Alall%C4%B1m+%E2%98%8E%EF%B8%8F+A%C3%87IK./data=!4m7!3m6!1s0x14cac6a2ce008023:0x4e53e18c676a90ae!8m2!3d40.9329699!4d29.1277514!16s%2Fg%2F1ptvtr9dc!19sChIJI4AAzqLGyhQRrpBqZ4zhU04?authuser=0&hl=tr&rclk=1
4,HD Barber’s Club,"5,0",108,"5,0(108)","5,0(108)",,https://www.google.com/maps/place/HD+Barber%E2%80%99s+Club/data=!4m7!3m6!1s0x14cac78fed3ee12b:0x4d41f638d6bfe58a!8m2!3d40.9343725!4d29.1282727!16s%2Fg%2F11xsgj7cm5!19sChIJK-E-7Y_HyhQRiuW_1jj2QU0?authuser=0&hl=tr&rclk=1
5,THE BARBER YNS,"4,8",159,"4,8(159)","4,8(159)",,https://www.google.com/maps/place/THE+BARBER+YNS/data=!4m7!3m6!1s0x14cac6a2992d1e0f:0x51dd2c5c3976064c!8m2!3d40.933934!4d29.1335236!16s%2Fg%2F11c1r1xx9p!19sChIJDx4tmaLGyhQRTAZ2OVws3VE?authuser=0&hl=tr&rclk=1
6,Adams kuaför,"4,8",133,"4,8(133)","4,8(133)",,https://www.google.com/maps/place/Adams+kuaf%C3%B6r/data=!4m7!3m6!1s0x14cac6aea45a0a07:0x3c1ea2fe6ef9679e!8m2!3d40.9199934!4d29.1322948!16s%2Fg%2F11c60m87jm!19sChIJBwpapK7GyhQRnmf5bv6iHjw?authuser=0&hl=tr&rclk=1
7,KARAŞAHİN Barber Shop,"4,8",155,"4,8(155)","4,8(155)",,https://www.google.com/maps/place/KARA%C5%9EAH%C4%B0N+Barber+Shop/data=!4m7!3m6!1s0x14cac735fb720075:0xb70f787630938fde!8m2!3d40.9420612!4d29.1192972!16s%2Fg%2F11h6gbn51y!19sChIJdQBy-zXHyhQR3o-TMHZ4D7c?authuser=0&hl=tr&rclk=1
8,Hair Boss Maltepe,"5,0",598,"5,0(598)","5,0(598)",,https://www.google.com/maps/place/Hair+Boss+Maltepe/data=!4m7!3m6!1s0x14cac7c63fbdb071:0x8bc457416348b5f7!8m2!3d40.922508!4d29.1306873!16s%2Fg%2F11pkdw9h4z!19sChIJcbC9P8bHyhQR97VIY0FXxIs?authuser=0&hl=tr&rclk=1
9,Kuaför Cemil,"4,9",55,"4,9(55)","4,9(55)",,https://www.google.com/maps/place/Kuaf%C3%B6r+Cemil/data=!4m7!3m6!1s0x14cac507560b22ef:0xb49f1dbd9fab587e!8m2!3d40.9394812!4d29.1419019!16s%2Fg%2F11gh6s3x0k!19sChIJ7yILVgfFyhQRflirn70dn7Q?authuser=0&hl=tr&rclk=1
10,Onur Yalçın Hair Artist,"4,8",792,"4,8(792)","4,8(792)",,https://www.google.com/maps/place/Onur+Yal%C3%A7%C4%B1n+Hair+Artist/data=!4m7!3m6!1s0x14cac79c70ca1191:0x85b0c15d81ff7e97!8m2!3d40.9456972!4d29.11283!16s%2Fg%2F11qq9j91m4!19sChIJkRHKcJzHyhQRl37_gV3BsIU?authuser=0&hl=tr&rclk=1
11,Kapadokya Erkek Kuaförü,"4,9",132,"4,9(132)","4,9(132)",,https://www.google.com/maps/place/Kapadokya+Erkek+Kuaf%C3%B6r%C3%BC/data=!4m7!3m6!1s0x14cac41e17518e8b:0xd1ae978d71a901c1!8m2!3d40.9277718!4d29.1398244!16s%2Fg%2F11mhh3rt3t!19sChIJi45RFx7EyhQRwQGpcY2XrtE?authuser=0&hl=tr&rclk=1
12,Erhan DİLSİZ - Erkek BERBERİ,"4,7",117,"4,7(117)","4,7(117)",,https://www.google.com/maps/place/Erhan+D%C4%B0LS%C4%B0Z+-+Erkek+BERBER%C4%B0/data=!4m7!3m6!1s0x14cac6a2d33ab9f1:0xc878dc8a0b01dedf!8m2!3d40.9329266!4d29.1273653!16s%2Fg%2F11c6w18ycq!19sChIJ8bk606LGyhQR394BC4rceMg?authuser=0&hl=tr&rclk=1
